District Council / Constituency Area,Population,Working Population,
Wong Tai Sin - Lok Fu,15370,6965,
Wong Tai Sin - Wang Tau Hom,18090,8335,
Wong Tai Sin - Tin Keung,14518,7687,
Wong Tai Sin - Tsui Chuk and Pang Ching,18170,9478,
Wong Tai Sin - Chuk Yuen South,15609,6144,
Wong Tai Sin - Chuk Yuen North,16266,8208,
Wong Tai Sin - Tsz Wan West,19548,8423,
Wong Tai Sin - Ching Oi,17174,8484,
Wong Tai Sin - Ching On,20686,8505,
Wong Tai Sin - Tsz Wan East,20465,9157,
Wong Tai Sin - King Fu,19708,9854,
Wong Tai Sin - Choi Wan East,15427,7621,
Wong Tai Sin - Choi Wan South,13211,5827,
Wong Tai Sin - Choi Wan West,11583,5441,
Wong Tai Sin - Chi Choi,16130,8311,
Wong Tai Sin - Choi Hung,15399,6309,
Kwun Tong - Kwun Tong Central,16113,7503,
Kwun Tong - Kowloon Bay,13700,7761,
Kwun Tong - Kai Yip,15670,7101,
Kwun Tong - Lai Ching,15694,8509,
Kwun Tong - Ping Shek,13838,5659,
Kwun Tong - Sheung Choi,17456,6864,
Kwun Tong - Jordan Valley,20395,9964,
Kwun Tong - Shun Tin,19697,8444,
Kwun Tong - Sheung Shun,18029,8683,
Kwun Tong - On Lee,13777,5730,
Kwun Tong - Po Tat,23670,10243,
Kwun Tong - Sau Mau Ping North,21251,9038,
Kwun Tong - Hiu Lai,18364,9662,
Kwun Tong - Sau Mau Ping South,25923,10731,
Kwun Tong - Hing Tin,17294,8505,
Kwun Tong - Lam Tin,21946,9550,
Kwun Tong - Kwong Tak,19499,8896,
Kwun Tong - Ping Tin,16341,6879,
Kwun Tong - Pak Nga,13423,7037,
Kwun Tong - Yau Tong East,21597,9849,
Kwun Tong - Yau Lai,14204,6001,
Kwun Tong - Chui Cheung,19551,9565,
Kwun Tong - Yau Tong West,20006,8771,
Kwun Tong - Laguna City,23519,13002,
Kwun Tong - King Tin,21571,11679,
Kwun Tong - Tsui Ping,19632,8426,
Kwun Tong - Po Lok,14703,6698,
Kwun Tong - Yuet Wah,13516,6679,
Kwun Tong - Hip Hong,16751,7574,
Kwun Tong - Hong Lok,16312,7904,
Kwun Tong - Ting On,17155,8222,
Kwun Tong - Ngau Tau Kok,16511,6568,
Kwun Tong - To Tai,17459,10278,
Kwun Tong - Lok Wah North,14056,5871,
Kwun Tong - Lok Wah South,13529,6367,
Tsuen Wan - Tak Wah,22132,10626,
Tsuen Wan - Yeung Uk Road,20173,10628,
Tsuen Wan - Hoi Bun,19869,10356,
Tsuen Wan - Clague Garden,14726,6314,
Tsuen Wan - Fuk Loi,13931,6022,
Tsuen Wan - Discovery Park,18057,10056,
Tsuen Wan - Tsuen Wan Centre,15317,8591,
Tsuen Wan - Allway,18864,10209,
Tsuen Wan - Lai To,21702,11636,
Tsuen Wan - Lai Hing,21238,11170,
Tsuen Wan - Tsuen Wan Rural West,19011,11156,
Tsuen Wan - Tsuen Wan Rural East,22035,13193,
Tsuen Wan - Luk Yeung,15253,7415,
Tsuen Wan - Lei Muk Shue East,21276,9933,
Tsuen Wan - Lei Muk Shue West,14109,6170,
Tsuen Wan - Shek Wai Kok,13331,5586,
Tsuen Wan - Cheung Shek,13613,5989,
Tuen Mun - Tuen Mun Town Centre,16940,9349,
Tuen Mun - Siu Chi,20692,10655,
Tuen Mun - Siu Tsui,19758,10860,
Tuen Mun - On Ting,16854,7687,
Tuen Mun - Yau Oi South,15587,6774,
Tuen Mun - Yau Oi North,15150,7585,
Tuen Mun - Tsui Hing,18059,10338,
Tuen Mun - Shan King,18068,8563,
Tuen Mun - King Hing,15412,5765,
Tuen Mun - Hing Tsak,16309,7414,
Tuen Mun - San Hui,16306,7450,
Tuen Mun - Sam Shing,20253,10123,
Tuen Mun - Hanford,18668,10412,
Tuen Mun - Fu Sun,14770,8060,
Tuen Mun - Yuet Wu,13212,7116,
Tuen Mun - Siu Hei,12481,6616,
Tuen Mun - Wu King,14396,6928,
Tuen Mun - Butterfly,16989,8075,
Tuen Mun - Lok Tsui,14256,7345,
Tuen Mun - Lung Mun,18906,9758,
Tuen Mun - San King,14552,8045,
Tuen Mun - Leung King,14232,7536,
Tuen Mun - Tin King,16222,9045,
Tuen Mun - Po Tin,18604,8804,
Tuen Mun - Kin Sang,16122,9477,
Tuen Mun - Siu Hong,14785,7163,
Tuen Mun - Prime View,19011,11393,
Tuen Mun - Fu Tai,18745,8486,
Tuen Mun - Tuen Mun Rural,22207,12205,
Yuen Long - Fung Nin,22591,10888,
Yuen Long - Shui Pin,18924,9112,
Yuen Long - Nam Ping,16988,8467,
Yuen Long - Pek Long,16323,8779,
Yuen Long - Yuen Long Centre,20407,10000,
Yuen Long - Fung Cheung,22964,12852,
Yuen Long - Shap Pat Heung North,21720,10758,
Yuen Long - Shap Pat Heung South,23561,12026,
Yuen Long - Ping Shan South,16461,8820,
Yuen Long - Ping Shan North,20838,10580,
Yuen Long - Ha Tsuen,14162,6774,
Yuen Long - Tin Shing,21006,11054,
Yuen Long - Shui Oi,18798,8955,
Yuen Long - Shui Wah,18586,8451,
Yuen Long - Chung Wah,10357,5332,
Yuen Long - Yuet Yan,19135,7733,
Yuen Long - Fu Yan,19287,9630,
Yuen Long - Yat Chak,19385,7671,
Yuen Long - Tin Heng,22945,9525,
Yuen Long - Wang Yat,20505,8078,
Yuen Long - Ching King,19515,7566,
Yuen Long - Kingswood North,22594,11678,
Yuen Long - Tsz Yau,21033,10388,
Yuen Long - Tin Yiu,20823,10016,
Yuen Long - Kingswood South,18875,9357,
Yuen Long - Chung Pak,15057,8399,
Yuen Long - Fairview Park,15973,9133,
Yuen Long - San Tin,19478,9401,
Yuen Long - Kam Tin,11362,5527,
Yuen Long - Pat Heung North,11687,5799,
Yuen Long - Pat Heung South,17189,9244,
North - Luen Wo Hui,21257,10928,
North - Fanling Town,21008,11667,
North - Cheung Wah,17780,8998,
North - Wah Do,19561,10089,
North - Wah Ming,17060,9043,
North - Yan Shing,20408,10388,
North - Shing Fuk,19030,8888,
North - Sheung Shui Rural,20813,9158,
North - Ching Ho,21359,7717,
North - Yu Tai,12343,6693,
North - Choi Yuen,18271,8052,
North - Shek Wu Hui,19288,9428,
North - Tin Ping West,12642,6611,
North - Fung Tsui,15057,6665,
North - Sha Ta,13309,5616,
North - Tin Ping East,18116,9625,
North - Queen'S Hill,16832,8182,
Tai Po - Tai Po Hui,16302,6665,
Tai Po - Tai Po Central,14037,7413,
Tai Po - Chung Ting,14906,8238,
Tai Po - Tai Yuen,15040,6836,
Tai Po - Fu Heng,16477,9153,
Tai Po - Yee Fu,16451,9281,
Tai Po - Fu Ming Sun,14231,6778,
Tai Po - Kwong Fuk and Plover Cove,13920,7034,
Tai Po - Wang Fuk,13044,6789,
Tai Po - Tai Po Kau,15350,8615,
Tai Po - Wan Tau Tong,16894,8588,
Tai Po - San Fu,16702,9091,
Tai Po - Lam Tsuen Valley,20100,11082,
Tai Po - Po Nga,14707,7964,
Tai Po - Tai Wo,15574,8225,
Tai Po - Old Market and Serenity,15675,8313,
Tai Po - Hong Lok Yuen,16010,8867,
Tai Po - Shuen Wan,17658,9520,
Tai Po - Sai Kung North,13775,7610,
Sai Kung - Sai Kung Central,11927,6707,
Sai Kung - Pak Sha Wan,17338,9882,
Sai Kung - Sai Kung Islands,11797,6527,
Sai Kung - Hang Hau East,14849,7877,
Sai Kung - Hang Hau West,15570,8340,
Sai Kung - Po Kwan,18234,10479,
Sai Kung - Wai Do,25982,15663,
Sai Kung - Kin Shin,18791,7923,
Sai Kung - Choi Kin,20028,9907,
Sai Kung - O Tong,18509,11025,
Sai Kung - Fu Kwan,16889,9486,
Sai Kung - Nam On,23616,13914,
Sai Kung - Hong King,21233,11633,
Sai Kung - Tsui Lam,16360,9256,
Sai Kung - Po Lam,16847,8812,
Sai Kung - Yan Ying,19639,11063,
Sai Kung - Wan Hang,21289,12260,
Sai Kung - King Lam,17869,9430,
Sai Kung - Hau Tak,18713,9060,
Sai Kung - Fu Nam,17699,9540,
Sai Kung - Tak Ming,19516,10249,
Sai Kung - Sheung Tak,19232,7925,
Sai Kung - Kwong Ming,17741,9269,
Sai Kung - Wan Po,16959,9887,
Sha Tin - Sha Tin Town Centre,21559,11942,
Sha Tin - Lek Yuen,13328,6061,
Sha Tin - Wo Che Estate,19400,8886,
Sha Tin - City One,15997,8697,
Sha Tin - Yue Shing,15199,8925,
Sha Tin - Wong Uk,17985,9876,
Sha Tin - Sha Kok,16057,6639,
Sha Tin - Pok Hong,16355,8435,
Sha Tin - Jat Min,14750,7610,
Sha Tin - Chun Fung,13339,6470,
Sha Tin - Sun Tin Wai,17241,8831,
Sha Tin - Chui Tin,15963,8537,
Sha Tin - Hin Ka,13101,7203,
Sha Tin - Lower Shing Mun,20645,9891,
Sha Tin - Keng Hau,20247,10377,
Sha Tin - Tin Sum,15557,6781,
Sha Tin - Chui Ka,16664,7913,
Sha Tin - Tai Wai,21268,10226,
Sha Tin - Chung Tin,19075,9423,
Sha Tin - Sui Wo,12815,6729,
Sha Tin - Fo Tan,17104,9588,
Sha Tin - Chun Ma,14080,7929,
Sha Tin - Chung On,21269,10611,
Sha Tin - Kam To,20510,11108,
Sha Tin - Ma On Shan Town Centre,21646,12267,
Sha Tin - Lee On,23198,11879,
Sha Tin - Fu Lung,18234,9387,
Sha Tin - Kam Ying,17661,9608,
Sha Tin - Yiu On,16081,9235,
Sha Tin - Heng On,21703,12174,
Sha Tin - On Tai,21251,12272,
Sha Tin - Tai Shui Hang,14841,7447,
Sha Tin - Yu Yan,17475,10055,
Sha Tin - Bik Woo,21913,11570,
Sha Tin - Kwong Hong,12852,6634,
Sha Tin - Kwong Yuen,13910,6998,
Kwai Tsing - Kwai Hing,20456,9514,
Kwai Tsing - Kwai Shing East Estate,18629,7993,
Kwai Tsing - Upper Tai Wo Hau,13468,6019,
Kwai Tsing - Lower Tai Wo Hau,13714,6246,
Kwai Tsing - Kwai Chung Estate North,19334,8472,
Kwai Tsing - Kwai Chung Estate Central,14064,6348,
Kwai Tsing - Shek Yam,21355,9907,
Kwai Tsing - On Yam,16809,6911,
Kwai Tsing - Shek Lei Extension,20496,9196,
Kwai Tsing - Shek Lei,19901,7956,
Kwai Tsing - Tai Pak Tin,21881,11322,
Kwai Tsing - Kwai Fong,18474,8221,
Kwai Tsing - Wah Lai,17180,8570,
Kwai Tsing - Lai Wah,14712,7668,
Kwai Tsing - Cho Yiu,16439,7812,
Kwai Tsing - Hing Fong,18535,9722,
Kwai Tsing - Lai King,14768,6636,
Kwai Tsing - Kwai Shing West Estate,19213,8744,
Kwai Tsing - On Ho,20837,11447,
Kwai Tsing - Wai Ying,19354,10449,
Kwai Tsing - Tsing Yi Estate,14464,7908,
Kwai Tsing - Greenfield,19589,11484,
Kwai Tsing - Cheung Ching,19471,9285,
Kwai Tsing - Cheung Hong,19076,9378,
Kwai Tsing - Shing Hong,12803,6277,
Kwai Tsing - Tsing Yi South,19747,9600,
Kwai Tsing - Cheung Hang,14269,7117,
Kwai Tsing - Ching Fat,18427,10311,
Kwai Tsing - Cheung On,13702,7972,
Islands - Lantau,17770,8308,
Islands - Yat Tung Estate North,20946,8898,
Islands - Yat Tung Estate South,18366,8644,
Islands - Tung Chung North,19128,10777,
Islands - Tung Chung South,16954,8958,
Islands - Discovery Bay,12362,6692,
Islands - Peng Chau and Hei Ling Chau,7048,2915,
Islands - Lamma and Po Toi,6013,3501,
Islands - Cheung Chau South,11808,6386,
Islands - Cheung Chau North,10932,5569,
Total,7070388,3547032,
,,,
,,,
,,,
,,,
,,,
Generated through the Census and Statistics Department Interactive Data Dissemination Service on 1/2/2015 2:25:27 PM,,,
Source: Census and Statistics Department,,,
Hong Kong Special Administrative Region,,,
"(Enquiry telephone no.: (852) 2716 8025, email: census@censtatd.gov.hk)",,,
